CountDense,CountActivation,CountDropout,CountFlatten,CountInputLayer,CountConv1D,CountConv2D,CountConv3D,CountMaxPooling1D,CountMaxPooling2D,CountMaxPooling3D,CountSimpleRNN,CountGRU,CountLSTM,CountEmbedding,CountBatchNormalization,CountLayerNormalization,Countsoftmax,Countrelu,Counttanh,Countsigmoid,Counthard_sigmoid,Countexponential,Countlinear,CountL1,CountL2,CountL1L2,Model_File,Total_Params,Trainable_Params,Num_Neurons,Max_Neurons,Min_Neurons,Max_Dimension_Input,Min_Dimension_Input,Max_Dimension_Output,Min_Dimension_Output,Max_Input_Output_Dimension_Mismatch_Count,Max_Dropout_Rate,Min_Dropout_Rate,Number_of_Layers,Layer_Diversity,Activation_Presence,Avg_Params_Per_Layer,Input_Output_Mismatch_Count_Layer
2,4,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,945_37624102_correct.h5,9447138,9447138,4,128,2,73728,1,73728,2,0,0.0,0.0,10,5,0.8,944713.8,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3428_50306988_correct.h5,12,12,2,2,2,2,2,2,2,0,0.0,0.0,2,1,1.0,6.0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3746_46642627_correct.h5,2701,2701,3,50,1,50,1,50,1,0,0.0,0.0,3,1,1.0,900.3333333333334,0
1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,127_66952606_correct.h5,771713,771713,2,128,1,500,128,500,1,0,0.5,0.5,5,5,0.4,154342.6,0
3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,807_70406438_correct.h5,1042811,1042811,4,64,3,300,4,300,3,0,0.4,0.4,9,4,0.4444444444444444,115867.88888888889,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,528_68692047_correct.h5,407050,407050,2,512,10,784,512,512,10,1,0.2,0.2,3,2,0.6666666666666666,135683.33333333334,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1304_73765263_correct.h5,58978,58978,2,10,8,2560,8,2560,8,0,0.0,0.0,4,2,0.5,14744.5,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3703_73765263_correct.h5,58978,58978,2,10,8,2560,8,2560,8,0,0.0,0.0,4,2,0.5,14744.5,0
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3697_73765263_correct.h5,58978,58978,2,10,8,2560,8,2560,8,0,0.0,0.0,4,2,0.5,14744.5,0
2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,1136_73148058_correct.h5,52132,52132,4,64,4,64,1,64,3,0,0.2,0.2,6,3,0.6666666666666666,8688.666666666666,0
